,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,0.8516,0.8566,0.8594,0.865,0.8618,0.8652,0.857,0.8498,0.86,0.8488
SVM_ACC,0.883,0.8568,0.8528,0.8652,0.8702,0.855,0.857,0.8612,0.853,0.866
KNN_ACC,0.837,0.8408,1.0,0.8368,1.0,1.0,1.0,1.0,0.8372,0.8308
DT_ACC,0.8662,0.859,0.8708,0.8446,0.8562,0.855,0.8594,0.8638,0.8642,0.883
LG_ROC_AUC,0.9126006824404291,0.9111251322675666,0.907195278490903,0.9162043357442317,0.9189512373699764,0.9142930049932543,0.9122443207028131,0.9090721077299618,0.91265848733041,0.9073932197101123
SVM_ROC_AUC,0.9099212288828451,0.9015117882305383,0.9089012826298709,0.9165816429001806,0.9076238383060871,0.9134167889544614,0.9116365845659198,0.9142835380885214,0.9096961006712528,0.9137102958933127
KNN_ROC_AUC,0.8877835584261046,0.8882043406691283,1.0,0.8777713396026335,1.0,0.8831056507320167,1.0,0.8891136962699192,0.88706141833195,0.8776665365599792
DT_ROC_AUC,0.8934114397270349,0.8964714071133925,0.9289015003981885,0.906109388919049,0.8949388744199298,0.8780406476511168,0.9083037042507621,0.9173457164917386,0.9100229383091819,0.8873135854148397
LG_F1,0.6716814159292036,0.6676122931442081,0.6638217164532955,0.6899402847955902,0.6962637362637363,0.6705767350928641,0.6703550023052098,0.6527970411465556,0.6891651865008881,0.6719022687609075
SVM_F1,0.7302904564315352,0.6462450592885375,0.6720142602495545,0.6913919413919414,0.6511411271541686,0.6773475745438363,0.7656316461080391,0.6918294849023091,0.6669687358405074,0.6763285024154588
KNN_F1,0.6578947368421052,0.6621735467565291,0.6875,0.6476929711082364,1.0,1.0,1.0,0.6419973250111458,0.6617915904936016,0.6551264980026632
DT_F1,0.7542857142857143,0.7450980392156863,0.7536355859709154,0.691793893129771,0.6550218340611355,0.6927609427609428,0.6570425282871635,0.6766575840145321,0.67496409765438,0.7555369828666945
LG_PRECISION,0.42920602966265264,0.44697885646217983,0.4189481396925053,0.45726380721746696,0.47886062720191835,0.43932644874765703,0.4332703295518849,0.4561063383918142,0.479549588399709,0.4627020091378008
SVM_PRECISION,0.3605504411015472,0.316205666113875,0.3476327683615819,0.3542547178919272,0.3441630451946597,0.31697968137941457,0.3546006580735612,0.36475133931105697,0.320411056689555,0.34505368183312
KNN_PRECISION,0.4887129374576654,0.4868523037491406,1.0,0.5173414357436266,0.5008725984811299,0.4842166317382699,0.4739440815505332,0.49565618348063223,0.4717407916016926,0.4732139911577135
DT_PRECISION,0.536133313076105,0.5839426219440766,0.5794322898372964,0.5318666773658589,0.4655977163023892,0.38860531026711825,0.3769659273602065,0.5536422026045341,0.5355435491843796,0.48491759188625716
