,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,0.7968,0.803,0.7966,0.797,0.7838,0.7942,0.793,0.7978,0.8038,0.7914
SVM_ACC,0.9614,0.965,0.963,0.965,0.9626,0.9664,0.965,1.0,0.9992,0.9606
KNN_ACC,1.0,1.0,0.7946,1.0,1.0,0.7904,0.7966,1.0,1.0,1.0
DT_ACC,0.8334,0.8258,0.8258,0.7982,0.8304,0.8156,0.8336,0.8084,0.8132,0.768
LG_ROC_AUC,0.8677135255248337,0.8698320204616699,0.8658158638193478,0.8692139608379669,0.8570026540632231,0.8689917150654058,0.864796825289904,0.866409636713706,0.8734786192091696,0.8618088226810621
SVM_ROC_AUC,0.9914207314174965,0.9927693564129635,0.993526717557252,0.9935293830906319,0.9911300663193378,0.9940925007554348,0.9920342686032146,0.9931169245322997,0.9924865654024166,0.9917800824855335
KNN_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ROC_AUC,0.8856805866107343,0.8785940312435124,0.8918641788178536,0.8765780678398724,0.8563425599276345,0.8570498002916831,0.8759501590856574,0.8899342735048577,0.8866154811917524,0.8857779062053063
LG_F1,0.8516355140186915,0.8550555230859146,0.8508810898859767,0.8492051701084534,0.8432651877627954,0.8492307692307692,0.8487063294839936,0.8536691272253583,0.8577259475218659,0.8462785556374356
SVM_F1,0.9707708617295169,0.9735849056603774,0.9719484457922669,0.9738376438929586,0.9719934102141681,0.9746223564954682,0.9737827715355807,1.0,0.9993911719939117,0.9704514774261287
KNN_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_F1,0.8374455732946299,0.8712110010350436,0.8729023785203559,0.8575873285249611,0.8484175458078844,0.8676428366350847,0.8800459704065507,0.8586497890295359,0.8183908045977012,0.8357405834041349
LG_PRECISION,0.8073146759208866,0.8089922768523696,0.8018782418797994,0.8037551800446121,0.7939042895454809,0.8038535350677164,0.8026731713413535,0.8070095113833367,0.8111442130693793,0.7997072407045009
SVM_PRECISION,0.9989820659842451,0.9772460841175821,1.0,0.9507995549364509,1.0,0.9627234188595891,1.0,1.0,0.9991827146593645,0.9471231740689966
KNN_PRECISION,0.8524245937711864,0.844520805134132,0.8403815906890709,0.8434867022070921,1.0,0.8401649035730648,1.0,0.8382297466661394,0.8337317048954567,1.0
DT_PRECISION,0.8063585491663312,0.8307245126721511,0.8207923977182061,0.7897417847539658,0.807565472322928,0.8143683564668435,0.8223240686570552,0.7879035511339965,0.8131552517097403,0.8040617198288269
