,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,0.7666,0.7486,0.7484,0.7608,0.7618,0.752,0.7552,0.7518,0.7604,0.7516
SVM_ACC,0.9278,0.8382,0.8908,0.8582,0.8672,0.8604,0.84,0.8734,0.8732,0.895
KNN_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ACC,0.761,0.8406,0.8282,0.802,0.8264,0.84,0.8348,0.7916,0.7914,0.8262
LG_ROC_AUC,0.8323759445009058,0.825095835316451,0.8215688226320503,0.8288255812092993,0.8272655377960714,0.8244811274787089,0.8339515716023302,0.8233058815921156,0.8331491988589905,0.8345617067844915
SVM_ROC_AUC,0.9730104320856671,0.9316395198294157,0.9297757503001199,0.9246717161532999,0.9024839817437962,0.9269351449942184,0.9299681149583201,0.9321777629284118,0.9296768320802005,0.9491436329229107
KNN_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ROC_AUC,0.8725229052368618,0.8812780072303171,0.8369937169617064,0.8914786884321628,0.8147569723665838,0.8931586838033383,0.8937473028096863,0.8112340927156685,0.8615450011435075,0.8932284926137202
LG_F1,0.7653876898481216,0.7395339245205198,0.7463709677419353,0.76640625,0.757877617401911,0.761171032357473,0.7563951200314837,0.749242271165892,0.7648213584609345,0.75269676388334
SVM_F1,0.8986035215543412,0.836267961951022,0.8911917098445595,0.8609531280643263,0.8318548387096775,0.8592174263816055,0.842890809112333,0.8724561757001813,0.8693322341302556,0.8951467944877172
KNN_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_F1,0.8400451637184795,0.8253968253968255,0.8307024467245461,0.7984527687296417,0.817824377457405,0.8450976600270741,0.8348660535785685,0.8119932113897794,0.7879650335434031,0.8070822574695685
LG_PRECISION,0.6922692329218817,0.5428047387953183,0.6668736051560081,0.6958212699055903,0.6879922257199595,0.6905957817730671,0.6842521540916344,0.6793902027506721,0.6912974862909943,0.6749343805844634
SVM_PRECISION,0.885541689215015,0.8131543668121903,0.8875400903129039,0.8090120513802129,0.535313321038701,0.796116656270348,0.8856274011444507,0.8124629422210435,0.8092726685506662,0.8403237236253266
KNN_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_PRECISION,0.6613922154206964,0.7667472356082208,0.7592695949908537,0.7536842413016164,0.7831666005651425,0.7593345199680995,0.7752552642194432,0.7150944988707032,0.7156366574130042,0.7599193806245684
