,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,0.7222,0.7374,0.7256,0.7254,0.7276,0.7228,0.7258,0.7282,0.7284,0.7246
SVM_ACC,0.9894,0.9884,0.99,0.9908,0.988,0.9894,0.9878,0.9868,0.988,0.9874
KNN_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ACC,0.8964,0.909,0.877,0.8986,0.88,0.9068,0.8722,0.858,0.89,0.882
LG_ROC_AUC,0.814090792570856,0.8148715746410797,0.8117038312755613,0.8110336994629701,0.8161595846383386,0.8150209408866491,0.8133294847778323,0.8179872,0.8172041909663148,0.8099256561934736
SVM_ROC_AUC,0.9988190763407523,0.9991291149518635,0.999196774810858,0.998998714232594,0.999174424737749,0.9989004587128806,0.9989683066292541,0.9990476914520305,0.9988770901403036,0.9990150178176955
KNN_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ROC_AUC,0.9678203963183443,0.9692809484951759,0.9594135760987548,0.9605253613354388,0.963961827742279,0.9632183058388629,0.9486397973838674,0.9538387314435627,0.9639094846982899,0.9636050897832322
LG_F1,0.7147258163894022,0.7439048176321436,0.7328660436137071,0.7229061553985872,0.7289012738853503,0.7197735543873838,0.7288906466284358,0.7312931885488648,0.7296974522292994,0.738004569687738
SVM_F1,0.9889514279758183,0.9881098810988109,0.9899396378269618,0.9907852564102564,0.9878444084278768,0.9893638370459563,0.9877681973130138,0.9865853658536585,0.9875776397515528,0.9872029250457038
KNN_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_F1,0.8982552440697902,0.9119752369897465,0.8712581117856394,0.9003733542935743,0.8884343622164373,0.9080889588663649,0.8481141692150866,0.8668289941936692,0.8893796426420397,0.8836750788643534
LG_PRECISION,0.5720181272974558,0.6746178161269502,0.6673924253332766,0.5813102773246329,0.6043365004962844,0.6050230481496683,0.5907220282524211,0.501,0.5726349875946851,0.6692055264636857
SVM_PRECISION,0.9828259894493044,0.9825617936439067,0.9851806452365128,0.9858560545950794,0.9818365752622219,0.98364178758631,0.9812869924034215,0.9789547051800565,0.9823137752477624,0.9817728723830914
KNN_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_PRECISION,0.755272675856422,0.6889350580899888,0.8438290399784265,0.8398438502335096,0.8049026622500307,0.7322798353909465,0.6697361315671497,0.869601425195341,0.7196433564505554,0.8299975836464477
