,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,1.0
LG_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999907092599044,1.0,1.0
LG_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998066138077741,0.9996197718631179,1.0
LG_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996133023975251,0.9992398327632079,1.0
