,Training_Trial_1,Training_Trial_2,Training_Trial_3,Training_Trial_4,Training_Trial_5,Training_Trial_6,Training_Trial_7,Training_Trial_8,Training_Trial_9,Training_Trial_10
LG_ACC,0.9178,0.9216,0.918,0.913,0.9118,0.916,0.9154,0.9276,0.9196,0.9244
SVM_ACC,0.9994,0.9992,0.9986,0.9984,0.9992,0.998,0.9974,0.999,0.9986,0.9984
KNN_ACC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ACC,0.9994,0.9978,0.997,0.9968,0.9968,0.9984,0.9964,0.998,0.9968,0.9986
LG_ROC_AUC,0.9521867892690322,0.9528422672224812,0.9539209868148997,0.948523356054116,0.9503692525228344,0.9515285166436569,0.9494704440109527,0.958142956537597,0.9560625421312288,0.9538174566651327
SVM_ROC_AUC,0.9998765492236689,0.9998033412878478,0.9998804405526516,0.9998543388173404,0.9997895372394943,0.9996096056697269,0.9997565918013054,0.9999987833457553,0.9999526650322614,0.9999045026865951
KNN_ROC_AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_ROC_AUC,0.9999050161067649,0.9994125722620053,0.9983501261985986,0.9967934331955306,0.9992251413200659,0.9996354722521051,0.999400350116183,0.9992569464971919,0.9993596473203444,0.9995426922264717
LG_F1,0.802688430148824,0.818686401480111,0.7988223748773308,0.7781744008159103,0.7851924013638578,0.799043062200957,0.8038942976356049,0.8259615384615385,0.81508739650414,0.8186180422264874
SVM_F1,0.998592210229939,0.9980582524271845,0.9964806435394671,0.9960552268244576,0.9981965734896303,0.9951267056530214,0.9938183547313362,0.9975949975949976,0.9966002914035941,0.9963403476669718
KNN_F1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_F1,0.9985387238188017,0.9951076320939334,0.9929211892402077,0.9925373134328358,0.9929203539823008,0.9962859795728877,0.991321118611379,0.9951028403525954,0.9921026653504442,0.9967963386727688
LG_PRECISION,0.6831872799859855,0.7006821831326746,0.6753658792041833,0.6445337205187452,0.6522825578456071,0.6767037673193633,0.6859473146571737,0.7133073248360497,0.7004397168705047,0.7047139178700568
SVM_PRECISION,0.9971883786316776,0.9961240310077519,0.9969818913480886,0.9921414538310412,0.9963996399639964,0.9903006789524733,0.9895833333333334,0.9952015355086372,0.9951503394762367,0.9929015669992635
KNN_PRECISION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DT_PRECISION,0.9970817120622568,0.9892996108949417,0.9867032469568688,0.985372325270747,0.9859402460456942,0.9925994449583718,0.982791586998088,0.9910306127930624,0.9843290891283056,0.9938081437727787
